,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
0,1,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",12.832482235506177,12.832482235506177,"[[(2, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7)]]"
1,2,"['frag_08_c00001', 'frag_11_c00001']","[[], []]",13.327864004299045,13.327864004299045,"[[(1, 1), (2, 2), (3, 3), (4, 8)], [(2, 4), (3, 5), (4, 6), (5, 7), (1, 9)]]"
2,3,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",14.126489190384746,14.126489190384746,"[[(1, 3), (2, 8)], [(1, 1), (2, 2), (4, 4), (5, 5), (6, 6), (7, 7), (3, 9)]]"
3,4,"['frag_08_c00001', 'frag_11_c00001']","[[], []]",14.178101047873497,14.178101047873497,"[[(1, 1), (2, 2), (4, 8), (3, 9)], [(1, 3), (2, 4), (3, 5), (4, 6), (5, 7)]]"
4,5,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",14.378597030416131,14.378597030416131,"[[(2, 8), (1, 9)], [(6, 1), (2, 2), (3, 3), (4, 4), (5, 5), (1, 6), (7, 7)]]"
5,6,"['frag_08_c00001', 'frag_11_c00001']","[[], []]",15.317360769957304,15.317360769957304,"[[(2, 2), (3, 3), (1, 6), (4, 8)], [(4, 1), (2, 4), (3, 5), (5, 7), (1, 9)]]"
6,7,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",15.6726039852947,15.6726039852947,"[[(1, 3), (2, 8)], [(6, 1), (2, 2), (4, 4), (5, 5), (1, 6), (7, 7), (3, 9)]]"
7,8,"['frag_06_c00001', 'frag_14_c00001']","[[], []]",15.874931324273348,15.874931324273348,"[[(2, 7), (3, 8), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)]]"
8,9,"['frag_11_c00001', 'frag_03_c00001', 'frag_04_c00001']","[[], [], []]",15.90805041231215,15.90805041231215,"[[(1, 3), (2, 4), (3, 5), (4, 6), (5, 7)], [(2, 8), (1, 9)], [(1, 1), (2, 2)]]"
9,10,"['frag_11_c00001', 'frag_03_c00001', 'frag_04_c00001']","[[], [], []]",16.126790834590793,16.126790834590793,"[[(2, 4), (3, 5), (4, 6), (5, 7), (1, 9)], [(1, 3), (2, 8)], [(1, 1), (2, 2)]]"
10,11,"['frag_06_c00001', 'frag_14_c00001']","[[], []]",16.133092533797026,16.133092533797026,"[[(2, 7), (3, 8), (1, 9)], [(6, 1), (2, 2), (3, 3), (4, 4), (5, 5), (1, 6)]]"
11,12,"['frag_08_c00001', 'frag_11_c00001']","[[], []]",16.1675978153944,16.1675978153944,"[[(2, 2), (1, 6), (4, 8), (3, 9)], [(4, 1), (1, 3), (2, 4), (3, 5), (5, 7)]]"
12,13,"['frag_03_c00001', 'frag_15_c00001']","[[], []]",16.599575022235513,16.599575022235513,"[[(2, 4), (1, 9)], [(1, 1), (2, 2), (3, 3), (5, 5), (6, 6), (7, 7), (4, 8)]]"
